id,loc,connections
p0,"(-2153.0, 175.5)",['BH2']
p1,"(-2136.0, 170.0)","['RJ', 'XHL1']"
p2,"(-2136.0, 162.0)","['201', 'XHL2']"
p3,"(-2127.0, 157.0)","['203', 'LH2']"
p4,"(-2121.0, 157.0)","['205', 'LH3']"
p5,"(-2112.0, 157.0)","['207', 'LH4']"
p6,"(-2128.0, 173.0)","['208W', 'CH2']"
p7,"(-2119.0, 173.0)","['208E', 'CH3']"
p8,"(-2113.0, 173.0)","['210', 'CH4']"
p9,"(-2132.0, 178.0)","['209', 'CH1']"
p10,"(-2128.0, 178.0)","['211', 'CH2']"
p11,"(-2111.0, 178.0)","['215', 'CH4']"
p12,"(-2134.0, 194.0)","['216', 'BH1']"
p13,"(-2125.0, 194.0)","['216', 'BH2']"
p14,"(-2120.0, 194.0)",['218']
p15,"(-2113.0, 194.0)",['220']
p16,"(-2118.0, 186.0)","['213', '218']"
p17,"(-2113.0, 186.0)","['215', '220']"
p18,"(-2145.0, 179.0)","['E1', 'BH1']"
p19,"(-2149.0, 179.0)","['E2', 'BH2']"
p20,"(-2148.0, 162.0)","['WR', 'WR0']"
p21,"(-2147.0, 161.0)","['WR', 'WR1']"
p22,"(-2145.0, 162.0)",['MR']
p23,"(-2129.0, 162.0)","['201', '203']"
p24,"(-2127.0, 165.0)","['203', '208W']"
p25,"(-2124.0, 183.5)","['211', '213']"
p26,"(-2134.5, 186.0)","['209', '216']"
p27,"(-2147.0, 166.5)","['WR', 'WR1']"
