id,loc,connections
E2,"(-2148.5, 180.0)",['v0']
E1,"(-2145.5, 180.0)",['v1']
WR,"(-2148.5, 167.0)",[]
WRx,"(-2147.0, 162.0)",[]
WR0,"(-2148.5, 162.0)",[]
WR1,"(-2148.5, 160.0)",['v2']
MR,"(-2143.5, 167.0)",['v3']
MR0,"(-2143.5, 160.5)",['v4']
RJ,"(-2135.0, 169.0)",['v5']
201,"(-2133.0, 161.0)","['v6', 'v7']"
203,"(-2126.5, 161.5)",['v8']
203x,"(-2126.0, 158.0)",[]
205,"(-2120.0, 160.5)",[]
207,"(-2112.0, 160.5)","['v9', 'v10', 'v11']"
210,"(-2111.5, 169.5)","['v12', 'v13']"
208E,"(-2120.5, 169.5)",['v14']
208W,"(-2128.5, 169.0)",['v15']
208Wd,"(-2128.0, 173.0)",[]
209,"(-2133.0, 182.0)",[]
211,"(-2127.0, 182.0)",['v16']
211d,"(-2128.0, 178.0)",[]
213,"(-2120.5, 182.5)","['v17', 'v18']"
213d,"(-2118.0, 186.0)",[]
215,"(-2111.5, 182.0)","['v19', 'v20']"
216,"(-2129.5, 190.0)","['v21', 'v22']"
216d,"(-2125.0, 194.0)",[]
218,"(-2119.5, 190.5)",['v23']
220,"(-2111.5, 190.5)","['v24', 'v25']"
BH2,"(-2149.5, 174.5)",[]
BH1,"(-2144.0, 174.5)",[]
XHC,"(-2139.0, 177.0)",[]
XHL1,"(-2138.5, 169.5)",[]
XHL2,"(-2138.5, 161.0)",[]
LH1,"(-2135.0, 154.0)",[]
LH2,"(-2126.0, 154.0)",[]
LH2d,"(-2127.0, 157.0)",[]
LH3,"(-2120.0, 154.0)",[]
LH4,"(-2112.5, 154.0)",[]
CH1,"(-2133.5, 175.5)",[]
CH2,"(-2128.5, 175.5)",[]
CH3,"(-2121.5, 175.5)",[]
CH4,"(-2112.0, 175.5)",[]
XHR,"(-2139.0, 190.5)",[]
RH1,"(-2132.5, 197.0)",[]
RH2,"(-2125.5, 197.0)",[]
RH3,"(-2119.5, 197.0)",[]
RH4,"(-2112.0, 197.0)",[]
